,#,name,distributor_full_name,release_date,genre,runtime,rating,budget,rest_world,studio,total_gross,theaters_total,opening,theaters_opening,open_date,close_date
296,297,The Sound of Music (2018 re-release),Fathom,"September 9, 2018",Musical,2 hrs. 54 min.,Unknown,N/A,n/a,Fathom,"$616,171",640,"$413,497",640,9/9,9/12
297,298,Itzhak,Greenwich,"March 9, 2018",Documentary,1 hrs. 23 min.,Unrated,N/A,no dist,Greenwich,"$607,290",35,"$14,350",2,3/9,8/2
298,299,Survival Sunday: The Walking Dead/Fear the Walking Dead,Fathom,"April 15, 2018",Horror,2 hrs. 0 min.,Unrated,N/A,no dist,Fathom,"$605,764",777,"$605,764",777,4/15,4/15
299,300,"DCI 2018: Big, Loud & Live 15",Fathom,"August 9, 2018",Unknown,5 hrs. 15 min.,Unrated,N/A,no dist,Fathom,"$603,320",639,N/A,N/A,8/9,8/9
300,301,The Grateful Dead Meet Up 2018,Fathom,"April 4, 2018",Documentary,3 hrs. 0 min.,Unrated,N/A,no dist,Fathom,"$600,554",504,N/A,N/A,4/4,8/1
301,302,The Big Lebowski (20th Anniversary),Fathom,"August 5, 2018",Crime Comedy,1 hrs. 57 min.,R,N/A,n/a,Fathom,"$582,585",658,"$330,067",624,8/5,8/8
302,303,Pick of the Litter,IFC,"August 31, 2018",Documentary,1 hrs. 21 min.,Unrated,N/A,no dist,IFC,"$578,717",60,"$16,519",2,8/31,11/29
303,304,Manmarziyaan,Eros,"September 14, 2018",Romance,2 hrs. 36 min.,Unrated,N/A,n/a,Eros,"$567,417",99,"$292,439",99,9/14,10/14
304,305,Loveless (2018),Sony Classics,"February 16, 2018",Drama,2 hrs. 7 min.,R,N/A,n/a,SPC,"$566,356",59,"$30,222",3,2/16,5/10
305,306,The Cat Returns - Studio Ghibli Fest 2018,Fathom,"April 22, 2018",Animation,1 hrs. 15 min.,G,N/A,no dist,Fathom,"$563,718",752,"$254,402",721,4/22,4/25
306,307,A Cool Fish,China Lion,"November 16, 2018",Comedy,1 hrs. 49 min.,Unrated,N/A,no dist,CL,"$551,876",36,"$71,187",15,11/16,1/10
307,308,Tommy Wiseau's The Room,Fathom,"January 10, 2018",Drama,1 hrs. 39 min.,R,N/A,n/a,Fathom,"$549,602",513,N/A,N/A,1/10,1/19
308,309,The Children Act,A24,"September 14, 2018",Thriller,1 hrs. 45 min.,R,N/A,"$16,973,993",A24,"$547,750",73,"$76,108",23,9/14,11/22
309,310,Anna and the Apocalypse,Orion Pictures,"November 30, 2018",Musical,1 hrs. 32 min.,R,N/A,no dist,Orion,"$545,597",138,"$52,588",5,11/30,1/3
310,311,Dragon Ball Z: Saiyan Double Feature,Fathom,"November 3, 2018",Animation,1 hrs. 45 min.,Unrated,N/A,no dist,Fathom,"$540,707",691,"$288,095",691,11/3,11/8
311,312,Fireworks (2018),GKIDS,"July 3, 2018",Animation,1 hrs. 30 min.,Unrated,N/A,n/a,GK,"$525,280",510,"$138,014",10,7/3,7/19
312,313,Castle in the Sky - Studio Ghibli Fest 2018,Fathom,"November 18, 2018",Animation,2 hrs. 5 min.,PG,N/A,no dist,Fathom,"$523,664",648,"$197,172",645,11/18,11/20
313,314,Grave of the Fireflies - Studio Ghibli Fest 2018,Fathom,"August 12, 2018",Animation,1 hrs. 29 min.,Unrated,N/A,no dist,Fathom,"$516,962",746,"$158,101",715,8/12,8/15
314,315,The Sandlot (25th Anniversary),Fathom,"July 22, 2018",Family Comedy,1 hrs. 41 min.,PG,N/A,no dist,Fathom,"$516,130",438,"$263,582",410,7/22,7/24
315,316,Beetlejuice (30th Anniversary),Warner Bros.,"September 28, 2018",Horror Comedy,1 hrs. 32 min.,PG,N/A,no dist,WB,"$512,947",N/A,N/A,N/A,9/28,-
316,317,Bullitt 50th Anniversary,Fathom,,,,,,,,"$511,350",586,"$408,627",586,10/7,10/9
317,318,TCM: Die Hard 30th Anniversary Event,Fathom,"November 11, 2018",Action Thriller,2 hrs. 12 min.,R,N/A,no dist,Fathom,"$510,241",687,"$321,704",687,11/11,-
318,319,The Spy Gone North,CJ Entertainment,"August 10, 2018",Drama,2 hrs. 21 min.,Unrated,N/A,n/a,CJ,"$500,803",31,"$43,348",2,8/10,9/20
319,320,Monsters and Men,Neon,"September 28, 2018",Drama,1 hrs. 35 min.,R,N/A,no dist,Neon,"$500,101",153,"$118,697",18,9/28,10/28
320,321,Bilal: A New Breed of Hero,Vertical Entertainment,"February 2, 2018",Animation,1 hrs. 49 min.,PG-13,N/A,"$1,710,132",VE,"$490,973",300,"$309,951",300,2/2,3/1
321,322,The Great Battle,Well Go USA,"September 21, 2018",Action,2 hrs. 16 min.,Unrated,N/A,no dist,WGUSA,"$472,166",30,"$123,983",30,9/21,11/1
322,323,The Happy Prince,Sony Classics,"October 10, 2018",Drama,1 hrs. 45 min.,R,N/A,n/a,SPC,"$466,440",277,"$38,886",8,10/10,12/20
323,324,Puffs: Filmed Live Off Broadway,Fathom,"May 9, 2018",Unknown,1 hrs. 50 min.,Unrated,N/A,no dist,Fathom,"$464,483",687,"$232,863",606,5/9,5/12
324,325,Final Portrait,Sony Classics,"March 23, 2018",Comedy / Drama,1 hrs. 30 min.,R,N/A,n/a,SPC,"$461,972",100,"$25,472",3,3/23,6/21
325,326,Scotty and the Secret History of Hollywood,Greenwich,"July 27, 2018",Documentary,1 hrs. 38 min.,Unrated,N/A,no dist,Greenwich,"$461,689",34,"$28,144",1,7/27,9/20
326,327,South Pacific (60th Anniversary),Fathom,"August 26, 2018",Musical,2 hrs. 37 min.,Unrated,N/A,no dist,Fathom,"$458,000",718,"$258,350",683,8/26,8/29
327,328,Condorito: La Pelicula,Lionsgate,"January 12, 2018",Animation,1 hrs. 28 min.,PG,N/A,"$7,983,475",LGF,"$447,719",153,"$248,456",153,1/12,2/1
328,329,Perfect Blue (2018 re-release),GKIDS,"September 7, 2018",Animation,1 hrs. 20 min.,R,N/A,no dist,GK,"$446,062",491,"$19,020",491,9/7,10/25
329,330,Porco Rosso - Studio Ghibli Fest 2018,Fathom,"May 20, 2018",Animation,1 hrs. 34 min.,PG,N/A,no dist,Fathom,"$443,059",755,"$156,270",734,5/20,5/23
330,331,Elf (15th Anniversary),Warner Bros.,"November 2, 2018",Comedy,1 hrs. 35 min.,PG,N/A,no dist,WB,"$442,073",N/A,N/A,N/A,11/2,-
331,332,DCI 2018: Tour Premiere,Fathom,"June 21, 2018",Unknown,2 hrs. 0 min.,Unrated,N/A,no dist,Fathom,"$434,008",479,N/A,N/A,6/21,6/21
332,333,The Shining (2018 re-issue),Warner Bros.,"October 31, 2018",Horror,2 hrs. 26 min.,R,N/A,no dist,WB,"$421,572",N/A,N/A,N/A,10/31,-
333,334,NT LIVE: FRANKENSTEIN Cumberbatch as Creature,Fathom,"October 22, 2018",Unknown,2 hrs. 20 min.,Unrated,N/A,no dist,Fathom,"$417,783",512,N/A,N/A,10/22,10/29
334,335,Cirque du Soleil: KURIOS - Cabinet Of Curiosities,Fathom,"November 13, 2018",Unknown,1 hrs. 45 min.,Unrated,N/A,no dist,Fathom,"$413,039",522,N/A,N/A,11/13,-
335,336,Bag of Marbles,Gaumont British Picture Corporation,"March 23, 2018",Drama,1 hrs. 50 min.,Unrated,N/A,n/a,Gaum.,"$411,318",16,"$14,420",4,3/23,7/26
336,337,"Night Is Short, Walk On Girl",GKIDS,"August 21, 2018",Animation,1 hrs. 32 min.,Unrated,N/A,no dist,GK,"$406,490",415,"$18,302",10,8/21,10/4
337,338,The Philadelphia Story (2018 re-release),Fathom,"February 18, 2018",Romantic Comedy,1 hrs. 52 min.,Unrated,N/A,no dist,Fathom,"$404,524",665,"$258,994",630,2/18,2/21
338,339,The Oath (2018),Roadside Attractions,"October 12, 2018",Comedy,1 hrs. 33 min.,R,N/A,no dist,RAtt.,"$401,463",300,"$29,077",10,10/12,11/1
339,340,We the Animals,The Orchard,"August 17, 2018",Drama,1 hrs. 33 min.,R,N/A,no dist,Orch.,"$400,961",48,"$63,357",3,8/17,10/18
340,341,The Gospel According to André,Magnolia,"May 25, 2018",Documentary,1 hrs. 34 min.,PG-13,N/A,no dist,Magn.,"$400,713",36,"$47,802",4,5/25,8/16
341,342,Leaning Into The Wind,Magnolia,"March 9, 2018",Documentary,1 hrs. 33 min.,PG,N/A,no dist,Magn.,"$400,530",39,"$24,840",5,3/9,6/21
342,343,TCM: West Side Story,Fathom,"June 24, 2018",Musical,2 hrs. 33 min.,Unrated,N/A,no dist,Fathom,"$398,670",616,"$207,145",616,6/24,6/27
343,344,RiffTrax Live: Space Mutiny,Fathom,"June 14, 2018",Action / Adventure,1 hrs. 31 min.,Unrated,N/A,no dist,Fathom,"$397,887",725,N/A,N/A,6/14,6/19
344,345,RiffTrax Live: Krull,Fathom,"August 23, 2018",Comedy,1 hrs. 56 min.,Unrated,N/A,no dist,Fathom,"$397,157",638,"$95,010",507,8/23,8/25
345,346,Vertigo (60th Anniversary),Fathom,"March 18, 2018",Romantic Thriller,2 hrs. 8 min.,PG,N/A,n/a,Fathom,"$394,212",662,"$252,880",628,3/18,3/21
346,347,Soorma,Sony / Columbia,"July 13, 2018",Sports,2 hrs. 11 min.,PG-13,N/A,"$6,189,568",Sony,"$390,077",50,"$168,354",50,7/13,8/2
347,348,Attack on Titan Season 3,FUNimation Films,"July 10, 2018",Animation,2 hrs. 21 min.,Unrated,N/A,no dist,FUN,"$377,334",173,N/A,N/A,7/10,-
348,349,The Dark Knight (10th Anniversary),Warner Bros.,"August 24, 2018",Action / Adventure,2 hrs. 30 min.,PG-13,N/A,no dist,WB,"$375,589",N/A,N/A,N/A,8/24,-
349,350,Oh Lucy!,Film Movement,"March 2, 2018",Comedy / Drama,1 hrs. 35 min.,Unrated,N/A,n/a,FM,"$375,391",41,"$14,569",3,3/2,7/5
350,351,Grace Jones: Bloodlight and Bami,Kino Lorber,"April 13, 2018",Documentary,1 hrs. 55 min.,Unrated,N/A,no dist,KL,"$375,208",36,"$56,171",3,4/13,8/23
351,352,Jurassic Park (25th Anniversary),Fathom,"September 16, 2018",Sci-Fi Horror,2 hrs. 7 min.,PG-13,N/A,no dist,Fathom,"$374,238",532,"$213,743",532,9/16,9/19
352,353,Pom Poko - Studio Ghibli Fest 2018,Fathom,"June 17, 2018",Animation,1 hrs. 59 min.,PG,N/A,no dist,Fathom,"$372,405",758,"$107,909",733,6/17,6/20
353,354,Believer,Well Go USA,"June 8, 2018",Crime Thriller,2 hrs. 3 min.,Unrated,N/A,no dist,WGUSA,"$365,639",32,"$146,630",32,6/8,7/8
354,355,Mountain,Greenwich,"May 11, 2018",Documentary,1 hrs. 14 min.,PG,N/A,n/a,Greenwich,"$365,412",35,"$6,067",1,5/11,8/9
355,356,Kusama: Infinity,Magnolia,"September 7, 2018",Documentary,1 hrs. 20 min.,Unrated,N/A,no dist,Magn.,"$360,931",22,"$30,998",2,9/7,12/13
356,357,The Wizard of Oz (2018 re-issue),Warner Bros.,"February 18, 2018",Fantasy,1 hrs. 41 min.,G,N/A,,WB,"$351,839",N/A,N/A,N/A,2/18,-
357,358,Suicide: The Ripple Effect,Gathr Films,"February 23, 2018",Documentary,1 hrs. 33 min.,Unrated,N/A,no dist,Gathr,"$347,468",25,"$2,600",1,2/23,-
358,359,Sailor Moon R & S - The Movies,Fathom,"July 28, 2018",Animation,2 hrs. 0 min.,Unrated,N/A,no dist,Fathom,"$335,697",621,"$173,199",526,7/28,7/30
359,360,Russ Taff: I Still Believe,Fathom,"October 30, 2018",Unknown,1 hrs. 50 min.,Unrated,N/A,no dist,Fathom,"$334,983",693,N/A,N/A,10/30,10/30
360,361,Shine (2018),GVN Releasing,"October 5, 2018",Drama,1 hrs. 36 min.,R,N/A,no dist,GVN,"$333,388",609,"$205,842",609,10/5,11/7
361,362,Hichki,Yash Raj,"March 23, 2018",Drama,1 hrs. 46 min.,Unrated,N/A,"$3,889,000",Yash,"$330,279",73,"$330,279",73,3/23,3/25
362,363,Flower,The Orchard,"March 16, 2018",Comedy / Drama,1 hrs. 33 min.,R,N/A,no dist,Orch.,"$328,188",101,"$48,919",3,3/16,5/27
363,364,Bolshoi Ballet: The Nutcracker,Fathom,"December 23, 2018",Unknown,2 hrs. 20 min.,Unrated,N/A,no dist,Fathom,"$323,928",360,"$323,928",360,12/23,-
364,365,The Opera House,Fathom,"January 13, 2018",Documentary,1 hrs. 51 min.,Unrated,N/A,no dist,Fathom,"$320,079",627,"$191,466",604,1/13,1/17
365,366,The Riot and the Dance,Fathom,"March 19, 2018",Documentary,1 hrs. 50 min.,Unrated,N/A,no dist,Fathom,"$316,103",745,N/A,N/A,3/19,4/19
366,367,Bolshoi Ballet 2017/2018: Romeo and Juliet,Fathom,"January 21, 2018",Unknown,3 hrs. 5 min.,Unrated,N/A,no dist,Fathom,"$313,088",361,"$256,025",361,1/21,7/16
367,368,MET Opera: Magic Flute,Fathom,"December 1, 2018",Unknown,2 hrs. 0 min.,Unrated,N/A,no dist,Fathom,"$307,686",647,"$307,686",647,12/1,12/1
368,369,Damsel,Magnolia,"June 22, 2018",Drama,1 hrs. 53 min.,R,N/A,no dist,Magn.,"$305,136",42,"$20,291",3,6/22,8/23
369,370,Wilder vs Fury,Fathom,"December 1, 2018",Unknown,4 hrs. 30 min.,Unrated,N/A,no dist,Fathom,"$304,482",486,N/A,486,12/1,12/1
370,371,Bolshoi Ballet 2017/2018: Giselle,Fathom,"April 8, 2018",Unknown,2 hrs. 20 min.,Unrated,N/A,no dist,Fathom,"$302,681",357,"$244,588",357,4/8,7/9
371,372,Sunset Boulevard (2018 re-release),Fathom,"May 13, 2018",Drama,1 hrs. 50 min.,Unrated,N/A,no dist,Fathom,"$299,645",666,"$169,067",628,5/13,5/16
372,373,Harry Potter & the Sorcerer's Stone (2018 re-release),Warner Bros.,"September 2, 2018",Fantasy,2 hrs. 33 min.,PG,N/A,no dist,WB,"$295,917",N/A,N/A,N/A,9/2,-
373,374,More Than Funny: Everybody Has a Punchline,Fathom,"October 18, 2018",Comedy,1 hrs. 30 min.,Unrated,N/A,no dist,Fathom,"$290,498",595,N/A,N/A,10/18,-
374,375,The Son of Bigfoot,Viva Pictures Distribution,"March 30, 2018",Animation,1 hrs. 32 min.,PG,N/A,"$46,756,973",VPD,"$289,308",30,N/A,N/A,3/30,7/26
375,376,Andy Irons: Kissed by God,Fathom,"May 25, 2018",Documentary,1 hrs. 40 min.,Unrated,N/A,no dist,Fathom,"$285,933",495,N/A,N/A,5/25,5/31
376,377,Golden Job,Well Go USA,"September 28, 2018",Action,1 hrs. 40 min.,Unrated,N/A,no dist,WGUSA,"$285,795",34,"$121,391",34,9/28,11/1
377,378,But Deliver Us from Evil,Indican,"February 9, 2018",Horror Thriller,1 hrs. 49 min.,Unrated,N/A,no dist,Indic.,"$285,169",247,"$99,541",247,2/9,5/17
378,379,Newsies: The Broadway Musical (2018 re-release),Fathom,"July 26, 2018",Musical,2 hrs. 29 min.,PG,N/A,no dist,Fathom,"$282,429",647,"$122,524",647,7/26,7/28
379,380,Science Fair,National Geographic Entertainment,"September 14, 2018",Documentary,1 hrs. 30 min.,PG,N/A,no dist,NGE,"$276,195",36,"$11,231",1,9/14,12/20
380,381,Kings (2018),The Orchard,"April 27, 2018",Crime Drama,1 hrs. 37 min.,R,N/A,no dist,Orch.,"$274,635",215,"$163,289",215,4/27,5/17
381,382,The Endless,Well Go USA,"April 6, 2018",Sci-Fi Thriller,1 hrs. 52 min.,Unrated,N/A,no dist,WGUSA,"$272,020",20,"$9,083",1,4/6,6/28
382,383,The World Before Your Feet,Greenwich,"November 21, 2018",Documentary,1 hrs. 35 min.,Unrated,N/A,no dist,Greenwich,"$268,644",11,"$22,482",2,11/21,4/7
383,384,Doctor Who: Genesis of the Daleks,Fathom,"June 11, 2018",Adventure,1 hrs. 50 min.,Unrated,N/A,no dist,Fathom,"$264,629",780,N/A,N/A,6/11,6/11
384,385,Detective Dee: The Four Heavenly Kings,Well Go USA,"July 27, 2018",Action,2 hrs. 11 min.,Unrated,N/A,no dist,WGUSA,"$262,963",31,"$126,929",31,7/27,8/16
385,386,Eating You Alive,Fathom,"April 5, 2018",Documentary,2 hrs. 5 min.,Unrated,N/A,no dist,Fathom,"$260,534",570,N/A,N/A,4/5,4/5
386,387,What They Had,Bleecker Street,"October 19, 2018",Drama,1 hrs. 41 min.,R,N/A,n/a,BST,"$260,136",53,"$17,683",4,10/19,11/22
387,388,The King (2018),Oscilloscope Pictures,"June 22, 2018",Documentary,1 hrs. 47 min.,R,N/A,no dist,Osci.,"$259,291",45,"$29,050",2,6/22,9/27
388,389,Across the Universe (2018 re-release),Fathom,"July 29, 2018",Musical,2 hrs. 11 min.,PG-13,N/A,no dist,Fathom,"$258,618",439,"$118,217",439,7/29,8/1
389,390,Big 30th Anniversary,Fathom,"July 15, 2018",Fantasy Comedy,1 hrs. 44 min.,PG,N/A,no dist,Fathom,"$258,507",722,"$141,578",689,7/15,7/18
390,391,Back to Burgundy,Music Box Films,"March 23, 2018",Comedy / Drama,1 hrs. 53 min.,Unrated,N/A,"$11,368,274",MBox,"$257,610",18,"$15,157",5,3/23,6/21
391,392,London Fields,GVN Releasing,"October 26, 2018",Drama,1 hrs. 58 min.,R,N/A,no dist,GVN,"$252,676",613,"$168,575",613,10/26,11/8
392,393,Best F(r)iends Movie,Fathom,"March 30, 2018",Comedy / Drama,1 hrs. 48 min.,R,N/A,no dist,Fathom,"$252,410",504,"$131,671",409,3/30,4/2
393,394,Batti Gul Meter Chalu,Eros,"September 21, 2018",Drama,2 hrs. 41 min.,Unrated,N/A,n/a,Eros,"$249,539",64,"$153,847",64,9/21,10/14
394,395,Harry Potter & the Chamber of Secrets (2018 re-release),Warner Bros.,"September 2, 2018",Fantasy,2 hrs. 41 min.,PG,N/A,no dist,WB,"$245,501",N/A,N/A,N/A,9/2,-
395,396,The Fireflies are Gone,Entertainment One,"September 21, 2018",Drama,1 hrs. 36 min.,Unrated,N/A,no dist,EOne,"$245,006",25,"$51,119",25,9/21,11/11
396,397,RWBY Volume 6 Premiere,Fathom,"October 25, 2018",Animation,1 hrs. 30 min.,Unrated,N/A,no dist,Fathom,"$238,379",420,N/A,N/A,10/25,10/25
397,398,Generation Wealth,Magnolia,"July 20, 2018",Documentary,1 hrs. 46 min.,Not Yet Rated,N/A,no dist,Magn.,"$237,709",45,"$35,834",4,7/20,9/20
398,399,Alien Intrusion: Unmasking a Deception,Fathom,"January 11, 2018",Documentary,2 hrs. 10 min.,Unrated,N/A,no dist,Fathom,"$237,411",727,N/A,N/A,1/11,1/11
399,400,Skate Kitchen,Magnolia,"August 10, 2018",Drama,1 hrs. 45 min.,R,N/A,no dist,Magn.,"$236,799",34,"$18,065",1,8/10,10/4
400,401,NT Live: Hamlet 2018 Encore,Fathom,"March 8, 2018",Unknown,3 hrs. 30 min.,Unrated,N/A,no dist,Fathom,"$235,229",480,N/A,N/A,3/8,3/8
401,402,Superman 40th Anniversary,Fathom,"November 25, 2018",Action / Adventure,2 hrs. 23 min.,PG,N/A,no dist,Fathom,"$233,585",394,"$102,223",394,11/25,-
402,403,Sailor Moon SuperS - The Movie,Fathom,"August 4, 2018",Animation,1 hrs. 15 min.,Unrated,N/A,no dist,Fathom,"$231,434",580,"$109,707",520,8/4,8/6
403,404,Borg vs. McEnroe,Neon,"April 13, 2018",Drama,1 hrs. 47 min.,R,N/A,n/a,Neon,"$231,346",51,"$52,625",51,4/13,5/17
404,405,Matangi/Maya/M.I.A.,Abramorama,"September 28, 2018",Documentary,1 hrs. 36 min.,Unrated,N/A,n/a,Abr.,"$230,808",9,"$43,573",2,9/28,12/20
405,406,MFKZ,GKIDS,"October 11, 2018",Animation,1 hrs. 34 min.,R,N/A,no dist,GK,"$229,423",436,"$6,094",436,10/11,-
406,407,Swing Kids (2018),Well Go USA,"December 21, 2018",Drama,2 hrs. 13 min.,Unrated,N/A,no dist,WGUSA,"$222,001",21,"$43,952",15,12/21,1/27
407,408,Little Pink House,Dada Films,"April 20, 2018",Drama,1 hrs. 38 min.,Unrated,N/A,no dist,Da.,"$220,948",13,"$68,507",9,4/20,-
408,409,Mazinger Z: INFINITY,Fathom,"February 11, 2018",Animation,1 hrs. 35 min.,Unrated,N/A,n/a,Fathom,"$220,682",495,"$137,451",482,2/11,2/12
409,410,Fragments of Truth,Fathom,"April 24, 2018",Documentary,1 hrs. 45 min.,Unrated,N/A,no dist,Fathom,"$219,342",616,N/A,N/A,4/24,4/24
410,411,Harry Potter & the Prisoner of Azkaban (2018 re-release),Warner Bros.,"September 2, 2018",Fantasy,2 hrs. 22 min.,PG,N/A,no dist,WB,"$218,774",N/A,N/A,N/A,9/2,-
411,412,Dark Money,PBS Distribution,"July 13, 2018",Documentary,1 hrs. 38 min.,Unrated,N/A,no dist,PBS,"$217,932",20,"$8,100",1,7/13,-
412,413,Getting Grace,Hannover House,"March 23, 2018",Comedy / Drama,1 hrs. 52 min.,PG-13,N/A,no dist,Hann.,"$217,812",60,"$103,831",60,3/23,5/28
413,414,The Producers (50th Anniversary),Fathom,"June 3, 2018",Comedy,1 hrs. 28 min.,PG,N/A,no dist,Fathom,"$216,807",664,"$120,975",629,6/3,6/6
414,415,The Treasure of the Sierra Madre (70th anniversary),Fathom,"January 14, 2018",Adventure,2 hrs. 6 min.,Unrated,N/A,no dist,Fathom,"$215,295",631,"$144,074",631,1/14,1/16
415,416,Agent Mr. Chan,China Lion,"February 23, 2018",Comedy,1 hrs. 41 min.,Unrated,N/A,no dist,CL,"$208,351",10,"$62,234",10,2/23,4/1
416,417,The Dating Project,Fathom,"April 17, 2018",Documentary,1 hrs. 11 min.,Unrated,N/A,no dist,Fathom,"$208,100",615,N/A,N/A,4/17,4/17
417,418,The Guilty,Magnolia,"October 19, 2018",Thriller,1 hrs. 25 min.,R,N/A,no dist,Magn.,"$207,140",31,"$60,050",29,10/19,12/13
418,419,Default,CJ Entertainment,"November 30, 2018",Drama,1 hrs. 54 min.,Unrated,N/A,no dist,CJ,"$203,775",23,"$50,011",19,11/30,12/30
419,420,Keep the Change,Kino Lorber,"March 16, 2018",Romantic Comedy,1 hrs. 33 min.,Unrated,N/A,no dist,KL,"$202,788",13,"$12,445",1,3/16,6/14
420,421,Bolshoi Ballet 2017/2018: Coppelia,Fathom,"June 10, 2018",Unknown,2 hrs. 45 min.,Unrated,N/A,no dist,Fathom,"$202,217",360,"$202,217",360,6/10,6/10
421,422,Zama,Strand,"April 13, 2018",Drama,1 hrs. 55 min.,Unrated,N/A,no dist,Strand,"$200,600",19,"$26,123",3,4/13,7/19
422,423,Gemini,Neon,"March 30, 2018",Thriller,1 hrs. 33 min.,R,N/A,no dist,Neon,"$200,340",56,"$32,980",4,3/30,4/22
423,424,Gauguin: Voyage to Tahiti,Cohen Media Group,"July 11, 2018",Drama,1 hrs. 42 min.,Not Yet Rated,N/A,"$3,117,729",Cohen,"$200,140",14,"$35,994",6,7/11,8/19
424,425,TCM: Rebel Without a Cause,Fathom,"September 23, 2018",Drama,1 hrs. 51 min.,PG-13,N/A,no dist,Fathom,"$199,963",660,"$116,668",658,9/23,9/26
425,426,Studio 54,Zeitgeist,"October 5, 2018",Documentary,1 hrs. 38 min.,Unrated,N/A,no dist,Zeit.,"$199,767",14,"$14,909",1,10/5,2/28
426,427,Jason Mraz: Have It All The Movie,Atlantic Records,"August 7, 2018",Documentary,1 hrs. 30 min.,PG,N/A,no dist,Atlantic Rec,"$197,142",640,N/A,N/A,8/7,8/7
427,428,Fate/Stay Night: Heaven's Feel - I. Presage Flower,Fathom,"June 5, 2018",Animation,2 hrs. 10 min.,Unrated,N/A,n/a,Fathom,"$193,833",245,N/A,N/A,6/5,6/7
428,429,The Final Year,Magnolia,"January 19, 2018",Documentary,1 hrs. 29 min.,Unrated,N/A,no dist,Magn.,"$191,900",39,"$67,971",35,1/19,3/1
429,430,Harry Potter & the Goblet of Fire (2018 re-release),Warner Bros.,"September 2, 2018",Fantasy,2 hrs. 33 min.,PG-13,N/A,no dist,WB,"$188,716",N/A,N/A,N/A,9/2,-
430,431,Bolshoi Ballet: Don Quixote (2018),Fathom,"December 2, 2018",Unknown,2 hrs. 55 min.,Unrated,N/A,no dist,Fathom,"$187,946",358,"$187,824",358,12/2,12/3
431,432,Never-Ending Man: Hayao Miyazaki,GKIDS,"December 13, 2018",Documentary,1 hrs. 10 min.,Unrated,N/A,no dist,GK,"$187,320",377,"$10,238",4,12/13,1/10
432,433,The Monkey King 3,Well Go USA,"February 16, 2018",Action / Adventure,1 hrs. 54 min.,Unrated,N/A,"$114,897,502",WGUSA,"$187,074",34,"$95,577",34,2/16,3/8
433,434,Goldbuster,Well Go USA,"January 5, 2018",Comedy,1 hrs. 29 min.,Unrated,N/A,no dist,WGUSA,"$186,135",24,"$79,180",24,1/5,2/1
434,435,Summer 1993,Oscilloscope Pictures,"May 25, 2018",Drama,1 hrs. 36 min.,Unrated,N/A,n/a,Osci.,"$185,903",19,"$21,307",4,5/25,9/27
435,436,Maquia: When the Promised Flower Blooms (Subtitled),Eleven Arts,"July 20, 2018",Animation,1 hrs. 55 min.,Unrated,N/A,n/a,Elev.,"$185,699",221,"$71,472",157,7/20,-
436,437,Madeline's Madeline,Oscilloscope Pictures,"August 10, 2018",Drama,1 hrs. 30 min.,Unrated,N/A,no dist,Osci.,"$185,576",33,"$18,009",1,8/10,10/11
437,438,NT Live: King Lear,Fathom,"September 27, 2018",Unknown,2 hrs. 20 min.,Unrated,N/A,no dist,Fathom,"$185,305",514,N/A,N/A,9/27,9/27
438,439,Cobra Kai Premiere Event feat. The Karate Kid,Fathom,"April 25, 2018",Sports Action,2 hrs. 45 min.,PG,N/A,no dist,Fathom,"$185,082",678,N/A,N/A,4/25,4/25
439,440,Jane and Emma,Excel,"October 12, 2018",Drama,1 hrs. 34 min.,PG,N/A,no dist,Excel,"$184,795",29,"$84,512",21,10/12,10/21
440,441,Karwaan,PackYourBag,"August 3, 2018",Comedy / Drama,1 hrs. 54 min.,Unrated,N/A,n/a,PackYourBag,"$182,009",58,"$98,460",58,8/3,8/19
441,442,Harry Potter & the Deathly Hallows - Part 2 (2018 re-release),Warner Bros.,"September 2, 2018",Fantasy,2 hrs. 10 min.,PG-13,N/A,no dist,WB,"$181,938",N/A,N/A,N/A,9/2,-
442,443,Last Letter,China Lion,"November 9, 2018",Drama,1 hrs. 54 min.,Unrated,N/A,n/a,CL,"$180,946",23,"$80,485",18,11/9,12/6
443,444,The Accidental Detective 2: In Action,CJ Entertainment,"June 22, 2018",Crime Comedy,1 hrs. 56 min.,Unrated,N/A,n/a,CJ,"$179,045",11,"$47,367",11,6/22,7/29
444,445,Buybust,Well Go USA,"August 10, 2018",Action / Crime,2 hrs. 8 min.,Unrated,N/A,no dist,WGUSA,"$178,471",25,"$77,955",25,8/10,9/6
445,446,Batman: Mask of the Phantasm (25th Anniversary),Fathom,"November 12, 2018",Animation,1 hrs. 16 min.,PG,N/A,no dist,Fathom,"$178,133",761,N/A,N/A,11/12,-
446,447,The Guardians,Music Box Films,"May 4, 2018",Drama,2 hrs. 18 min.,R,N/A,n/a,MBox,"$177,331",10,"$7,479",1,5/4,9/13
447,448,Bolshoi Ballet 2017/2018: The Flames of Paris,Fathom,"March 4, 2018",Unknown,2 hrs. 15 min.,Unrated,N/A,no dist,Fathom,"$175,922",360,"$175,922",360,3/4,3/4
448,449,Always at the Carlyle,Good Deed,"May 11, 2018",Documentary,1 hrs. 32 min.,PG-13,N/A,no dist,Good Deed,"$174,251",23,"$9,239",1,5/11,7/15
449,450,Met Summer Encore: Turandot,Fathom,"July 18, 2018",Unknown,2 hrs. 18 min.,Unrated,N/A,no dist,Fathom,"$172,627",356,N/A,N/A,7/18,7/18
