,#,name,distributor_full_name,release_date,genre,runtime,rating,budget,rest_world,studio,total_gross,theaters_total,opening,theaters_opening,open_date,close_date
56,57,Sicario: Day of the Soldado,Sony / Columbia,"June 29, 2018",Action / Adventure,2 hrs. 2 min.,R,$35 million,"$25,764,448",Sony,"$50,072,235","3,055","$19,007,566","3,055",6/29,9/20
57,58,BlacKkKlansman,Focus Features,"August 10, 2018",Drama,2 hrs. 14 min.,R,$15 million,"$43,998,459",Focus,"$49,275,340","1,914","$10,845,330","1,512",8/10,3/1
58,59,I Feel Pretty,STX Entertainment,"April 20, 2018",Comedy,1 hrs. 50 min.,PG-13,$32 million,"$45,743,825",STX,"$48,795,601","3,440","$16,030,218","3,440",4/20,6/21
59,60,Vice,Annapurna Pictures,"December 25, 2018",Drama,2 hrs. 12 min.,R,N/A,"$28,237,206",Annapurna,"$47,836,282","2,534","$7,768,371","2,442",12/25,4/11
60,61,Red Sparrow,Fox,"March 2, 2018",Thriller,2 hrs. 19 min.,R,$69 million,"$104,698,129",Fox,"$46,874,505","3,064","$16,853,422","3,056",3/2,6/7
61,62,Breaking In (2018),Universal,"May 11, 2018",Thriller,1 hrs. 28 min.,PG-13,$6 million,"$4,571,030",Uni.,"$46,840,590","2,537","$17,630,285","2,537",5/11,8/2
62,63,Goosebumps 2: Haunted Halloween,Sony / Columbia,"October 12, 2018",Comedy,1 hrs. 30 min.,PG,$35 million,"$46,619,747",Sony,"$46,700,633","3,723","$15,802,225","3,521",10/12,12/20
63,64,12 Strong,Warner Bros.,"January 19, 2018",War Drama,2 hrs. 9 min.,R,N/A,"$21,631,102",WB,"$45,819,713","3,018","$15,815,025","3,002",1/19,3/29
64,65,Den of Thieves,STX Entertainment,"January 19, 2018",Action Thriller,2 hrs. 20 min.,R,N/A,"$35,562,000",STX,"$44,947,622","2,432","$15,206,108","2,432",1/19,3/22
65,66,First Man,Universal,"October 12, 2018",Drama,2 hrs. 18 min.,PG-13,$59 million,"$60,752,084",Uni.,"$44,936,545","3,640","$16,006,065","3,640",10/12,1/3
66,67,Hereditary,A24,"June 8, 2018",Horror,2 hrs. 6 min.,R,N/A,"$35,267,365",A24,"$44,069,456","2,998","$13,575,172","2,964",6/8,8/30
67,68,Tyler Perry's Acrimony,Lionsgate,"March 30, 2018",Thriller,2 hrs. 0 min.,R,N/A,"$2,854,573",LGF,"$43,549,096","2,006","$17,170,707","2,006",3/30,6/7
68,69,Sherlock Gnomes,Paramount,"March 23, 2018",Animation,1 hrs. 26 min.,PG,$59 million,"$47,103,000",Par.,"$43,242,871","3,662","$10,604,774","3,662",3/23,6/14
69,70,Uncle Drew,Lionsgate/Summit,"June 29, 2018",Comedy,1 hrs. 43 min.,PG-13,N/A,"$4,194,468",LG/S,"$42,469,946","2,742","$15,242,781","2,742",6/29,9/13
70,71,Widows,Fox,"November 16, 2018",Crime Thriller,2 hrs. 8 min.,R,$42 million,"$33,582,068",Fox,"$42,402,632","2,803","$12,361,307","2,803",11/16,2/21
71,72,Truth or Dare,Universal,"April 13, 2018",Thriller,1 hrs. 40 min.,PG-13,$3.5 million,"$53,919,478",Uni.,"$41,411,015","3,068","$18,667,855","3,029",4/13,7/26
72,73,Paddington 2,Warner Bros.,"January 12, 2018",Family Adventure,1 hrs. 43 min.,PG,N/A,"$186,440,347",WB,"$40,891,591","3,702","$11,001,961","3,702",1/12,3/15
73,74,"Love, Simon",Fox,"March 16, 2018",Romantic Comedy,1 hrs. 49 min.,PG-13,$17 million,"$25,489,948",Fox,"$40,826,341","2,434","$11,756,244","2,402",3/16,6/14
74,75,Second Act,STX Entertainment,"December 21, 2018",Romantic Comedy,1 hrs. 40 min.,PG-13,$16 million,"$33,000,000",STX,"$39,282,227","2,607","$6,489,983","2,607",12/21,2/21
75,76,The Commuter,Lionsgate,"January 12, 2018",Action,1 hrs. 45 min.,PG-13,N/A,"$83,598,529",LGF,"$36,343,858","2,892","$13,701,452","2,892",1/12,3/15
76,77,The 15:17 to Paris,Warner Bros.,"February 9, 2018",Drama,1 hrs. 34 min.,PG-13,$30 million,"$20,800,000",WB,"$36,276,286","3,042","$12,554,286","3,042",2/9,4/12
77,78,Mile 22,STX Entertainment,"August 17, 2018",Action,1 hrs. 35 min.,R,$50 million,"$30,200,000",STX,"$36,108,758","3,520","$13,710,825","3,520",8/17,10/4
