name,distributor_full_name,release_date,genre,runtime,rating,budget,rest_world,studio,total_gross,theaters_total,opening,theaters_opening,open_date,close_date,days_in_theaters,imdb_rating,directors,cinemascore_name,cinemascore_rating,RT_name,RT_rating,is_Action,is_Animation,is_Drama,is_Horror,is_Comedy,is_Adventure,is_Music,is_Sci-Fi,is_Thriller,is_Documentary,is_Romance,is_Fantasy,studio_uni,studio_WB,studio_Fox,studio_Sony,studio_STX,studio_LGF,studio_BV,studio_Focus,studio_Fathom,studio_Magn,studio_IFC,studio_WGUSA,studio_KL,rating_G,rating_Not Yet Rated,rating_PG,rating_PG-13,rating_R,rating_Unknown,rating_Unrated,CS_rating_A,CS_rating_A+,CS_rating_A-,CS_rating_B,CS_rating_B+,CS_rating_B-,CS_rating_C,CS_rating_C+,CS_rating_C-,CS_rating_D+,CS_rating_D-
Halloween (2018),Universal,"October 19, 2018",Horror,109.0,R,10.0,96135353,Uni.,159342015.0,3990,76221545,3990,10/19,1/3,76.0,6.6,David Gordon Green,HALLOWEEN (2018),B+,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
The Meg,Warner Bros.,"August 10, 2018",Sci-Fi Thriller,113.0,PG-13,130.0,384800000,WB,145443742.0,4118,45402195,4118,8/10,11/1,83.0,5.7,Jon Turteltaub,,,The Meg,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ocean's 8,Warner Bros.,"June 8, 2018",Action / Adventure,110.0,PG-13,70.0,157500000,WB,140218711.0,4145,41607378,4145,6/8,9/20,104.0,6.2,Gary Ross,,,Ocean's 8,69.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ready Player One,Warner Bros.,"March 29, 2018",Sci-Fi Action,140.0,PG-13,175.0,445200000,WB,137690172.0,4234,41764050,4234,3/29,7/5,98.0,7.5,Steven Spielberg,READY PLAYER ONE (2018),A-,Ready Player One,72.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bumblebee,Paramount,"December 21, 2018",Sci-Fi Action,114.0,PG-13,135.0,340794056,Par.,127195589.0,3597,21654047,3597,12/21,3/7,76.0,6.9,Travis Knight,BUMBLEBEE (2018),A-,Bumblebee,92.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mamma Mia! Here We Go Again,Universal,"July 20, 2018",Musical,114.0,PG-13,75.0,274392722,Uni.,120634935.0,3514,34952180,3514,7/20,10/11,83.0,6.8,Ol Parker,MAMMA MIA! HERE WE GO AGAIN (2018),A-,Mamma Mia! Here We Go Again,81.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Nun,Warner Bros. (New Line),"September 7, 2018",Horror,96.0,R,22.0,248100000,WB (NL),117450119.0,3876,53807379,3876,9/7,11/22,76.0,5.4,Corin Hardy,,,The Nun,26.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Creed II,MGM,"November 21, 2018",Sports Drama,117.0,PG-13,50.0,98300000,MGM,115715889.0,3752,35574710,3752,11/21,3/21,120.0,7.2,Steven Caple Jr.,CREED II (2018),A,Creed II,84.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Peter Rabbit,Sony / Columbia,"February 9, 2018",Family,93.0,PG,50.0,236013009,Sony,115253424.0,3725,25010928,3725,2/9,6/14,125.0,6.6,Will Gluck,PETER RABBIT (2018),A-,Peter Rabbit,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Mule,Warner Bros.,"December 14, 2018",Crime Drama,116.0,R,50.0,68700000,WB,103804407.0,3329,17509431,3329,12/14,3/14,90.0,7.1,Clint Eastwood,,,The Mule,69.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
